"id" "symbol"
"ENSMUSG00000054702" "ENSMUSG00000054702" "Ap1s3"
"ENSMUSG00000024480" "ENSMUSG00000024480" "Ap3s1"
"ENSMUSG00000024897" "ENSMUSG00000024897" "Apba1"
"ENSMUSG00000026786" "ENSMUSG00000026786" "Apbb1ip"
"ENSMUSG00000032590" "ENSMUSG00000032590" "Apeh"
"ENSMUSG00000010911" "ENSMUSG00000010911" "Apip"
"ENSMUSG00000031996" "ENSMUSG00000031996" "Aplp2"
"ENSMUSG00000009585" "ENSMUSG00000009585" "Apobec3"
"ENSMUSG00000002985" "ENSMUSG00000002985" "Apoe"
"ENSMUSG00000022892" "ENSMUSG00000022892" "App"
"ENSMUSG00000040760" "ENSMUSG00000040760" "Appl1"
"ENSMUSG00000004655" "ENSMUSG00000004655" "Aqp1"
"ENSMUSG00000042797" "ENSMUSG00000042797" "Aqp11"
"ENSMUSG00000032204" "ENSMUSG00000032204" "Aqp9"
"ENSMUSG00000037999" "ENSMUSG00000037999" "Arap2"
"ENSMUSG00000024451" "ENSMUSG00000024451" "Arap3"
"ENSMUSG00000048076" "ENSMUSG00000048076" "Arf1"
"ENSMUSG00000021877" "ENSMUSG00000021877" "Arf4"
"ENSMUSG00000115861" "ENSMUSG00000115861" "Arf4"
"ENSMUSG00000020440" "ENSMUSG00000020440" "Arf5"
"ENSMUSG00000040459" "ENSMUSG00000040459" "Arglu1"
"ENSMUSG00000030766" "ENSMUSG00000030766" "Arhgap17"
"ENSMUSG00000025154" "ENSMUSG00000025154" "Arhgap19"
"ENSMUSG00000036591" "ENSMUSG00000036591" "Arhgap21"
"ENSMUSG00000049807" "ENSMUSG00000049807" "Arhgap23"
"ENSMUSG00000034255" "ENSMUSG00000034255" "Arhgap27"
"ENSMUSG00000048865" "ENSMUSG00000048865" "Arhgap30"
"ENSMUSG00000041444" "ENSMUSG00000041444" "Arhgap32"
"ENSMUSG00000031355" "ENSMUSG00000031355" "Arhgap6"
"ENSMUSG00000040345" "ENSMUSG00000040345" "Arhgap9"
"ENSMUSG00000025132" "ENSMUSG00000025132" "Arhgdia"
"ENSMUSG00000030220" "ENSMUSG00000030220" "Arhgdib"
"ENSMUSG00000073433" "ENSMUSG00000073433" "Arhgdig"
"ENSMUSG00000059495" "ENSMUSG00000059495" "Arhgef12"
"ENSMUSG00000019467" "ENSMUSG00000019467" "Arhgef25"
"ENSMUSG00000031133" "ENSMUSG00000031133" "Arhgef6"
"ENSMUSG00000007880" "ENSMUSG00000007880" "Arid1a"
"ENSMUSG00000069729" "ENSMUSG00000069729" "Arid1b"
"ENSMUSG00000033237" "ENSMUSG00000033237" "Arid2"
"ENSMUSG00000019564" "ENSMUSG00000019564" "Arid3a"
"ENSMUSG00000004661" "ENSMUSG00000004661" "Arid3b"
"ENSMUSG00000039219" "ENSMUSG00000039219" "Arid4b"
"ENSMUSG00000037447" "ENSMUSG00000037447" "Arid5a"
"ENSMUSG00000019947" "ENSMUSG00000019947" "Arid5b"
"ENSMUSG00000043157" "ENSMUSG00000043157" "Arl11"
"ENSMUSG00000047446" "ENSMUSG00000047446" "Arl4a"
"ENSMUSG00000030654" "ENSMUSG00000030654" "Arl6ip1"
"ENSMUSG00000026426" "ENSMUSG00000026426" "Arl8a"
"ENSMUSG00000062590" "ENSMUSG00000062590" "Armc9"
"ENSMUSG00000029622" "ENSMUSG00000029622" "Arpc1b"
"ENSMUSG00000006304" "ENSMUSG00000006304" "Arpc2"
"ENSMUSG00000018909" "ENSMUSG00000018909" "Arrb1"
"ENSMUSG00000042082" "ENSMUSG00000042082" "Arsb"
"ENSMUSG00000000325" "ENSMUSG00000000325" "Arvcf"
"ENSMUSG00000098615" "ENSMUSG00000098615" "Arvcf"
"ENSMUSG00000031591" "ENSMUSG00000031591" "Asah1"
"ENSMUSG00000005470" "ENSMUSG00000005470" "Asf1b"
"ENSMUSG00000028053" "ENSMUSG00000028053" "Ash1l"
"ENSMUSG00000029752" "ENSMUSG00000029752" "Asns"
"ENSMUSG00000028207" "ENSMUSG00000028207" "Asph"
"ENSMUSG00000076441" "ENSMUSG00000076441" "Ass1"
"ENSMUSG00000042548" "ENSMUSG00000042548" "Asxl1"
"ENSMUSG00000017550" "ENSMUSG00000017550" "Atad5"
"ENSMUSG00000042406" "ENSMUSG00000042406" "Atf4"
"ENSMUSG00000030213" "ENSMUSG00000030213" "Atf7ip"
"ENSMUSG00000047767" "ENSMUSG00000047767" "Atg16l2"
"ENSMUSG00000041341" "ENSMUSG00000041341" "Atg2b"
"ENSMUSG00000026280" "ENSMUSG00000026280" "Atg4b"
"ENSMUSG00000026192" "ENSMUSG00000026192" "Atic"
"ENSMUSG00000047388" "ENSMUSG00000047388" "Atmin"
"ENSMUSG00000018585" "ENSMUSG00000018585" "Atox1"
"ENSMUSG00000025324" "ENSMUSG00000025324" "Atp10a"
"ENSMUSG00000046808" "ENSMUSG00000046808" "Atp10d"
"ENSMUSG00000031441" "ENSMUSG00000031441" "Atp11a"
"ENSMUSG00000022533" "ENSMUSG00000022533" "Atp13a3"
"ENSMUSG00000040907" "ENSMUSG00000040907" "Atp1a3"
"ENSMUSG00000026576" "ENSMUSG00000026576" "Atp1b1"
"ENSMUSG00000041329" "ENSMUSG00000041329" "Atp1b2"
"ENSMUSG00000032412" "ENSMUSG00000032412" "Atp1b3"
"ENSMUSG00000029467" "ENSMUSG00000029467" "Atp2a2"
"ENSMUSG00000020788" "ENSMUSG00000020788" "Atp2a3"
"ENSMUSG00000019943" "ENSMUSG00000019943" "Atp2b1"
"ENSMUSG00000026463" "ENSMUSG00000026463" "Atp2b4"
"ENSMUSG00000025428" "ENSMUSG00000025428" "Atp5a1"
"ENSMUSG00000116276" "ENSMUSG00000116276" "Atp5a1"
"ENSMUSG00000025393" "ENSMUSG00000025393" "Atp5b"
"ENSMUSG00000025781" "ENSMUSG00000025781" "Atp5c1"
"ENSMUSG00000003072" "ENSMUSG00000003072" "Atp5d"
"ENSMUSG00000000563" "ENSMUSG00000000563" "Atp5f1"
"ENSMUSG00000018770" "ENSMUSG00000018770" "Atp5g3"
"ENSMUSG00000034566" "ENSMUSG00000034566" "Atp5h"
"ENSMUSG00000116933" "ENSMUSG00000116933" "Atp5o"
"ENSMUSG00000022956" "ENSMUSG00000022956" "Atp5o"
"ENSMUSG00000031007" "ENSMUSG00000031007" "Atp6ap2"
"ENSMUSG00000019302" "ENSMUSG00000019302" "Atp6v0a1"
"ENSMUSG00000033379" "ENSMUSG00000033379" "Atp6v0b"
"ENSMUSG00000024121" "ENSMUSG00000024121" "Atp6v0c"
"ENSMUSG00000013160" "ENSMUSG00000013160" "Atp6v0d1"
"ENSMUSG00000004285" "ENSMUSG00000004285" "Atp6v1f"
"ENSMUSG00000006567" "ENSMUSG00000006567" "Atp7b"
"ENSMUSG00000037685" "ENSMUSG00000037685" "Atp8a1"
"ENSMUSG00000060671" "ENSMUSG00000060671" "Atp8b2"
"ENSMUSG00000060131" "ENSMUSG00000060131" "Atp8b4"
"ENSMUSG00000028457" "ENSMUSG00000028457" "Atp8b5"
"ENSMUSG00000054428" "ENSMUSG00000054428" "Atpif1"
"ENSMUSG00000054843" "ENSMUSG00000054843" "Atrnl1"
"ENSMUSG00000031229" "ENSMUSG00000031229" "Atrx"
"ENSMUSG00000027496" "ENSMUSG00000027496" "Aurka"
"ENSMUSG00000020897" "ENSMUSG00000020897" "Aurkb"
"ENSMUSG00000029673" "ENSMUSG00000029673" "Auts2"
